longitude,latitude,feature_code,current,contested,cluster_id,segment
29.706529999999997,50.23573,PPL,UA,8,2,Cluster 3
29.726329999999997,50.41473,PPL,UA,22,1,Cluster 2
38.15,49.83333,PPL,RU,15,0,Cluster 1
39.31198,49.20434,PPL,RU,6,0,Cluster 1
32.26931,47.54973,PPL,UA,5,3,Cluster 4
33.34429,50.70219,PPL,CONTESTED,25,1,Cluster 2
37.45642,49.08555,PPL,CONTESTED,12,0,Cluster 1
29.58413,49.99512,PPL,UA,1,2,Cluster 3
34.16044,51.5286,PPL,CONTESTED,25,1,Cluster 2
32.801809999999996,46.784,PPL,RU,5,3,Cluster 4
35.99756,47.0243,PPL,RU,1,3,Cluster 4
31.31505,46.98789,PPL,UA,5,3,Cluster 4
32.81535,46.9464,PPL,RU,4,3,Cluster 4
29.947490000000002,49.95438,PPL,UA,8,2,Cluster 3
31.97308,52.023270000000004,PPL,CONTESTED,25,1,Cluster 2
32.30395,46.93656,PPL,UA,6,3,Cluster 4
31.852220000000003,47.695209999999996,PPLA2,UA,2,3,Cluster 4
34.09111,51.65568,PPL,CONTESTED,25,1,Cluster 2
32.18192,47.40607,PPL,UA,5,3,Cluster 4
31.50275,47.22848,PPL,UA,5,3,Cluster 4
37.5,49.96667,PPL,RU,15,0,Cluster 1
36.28079,47.868590000000005,PPL,UA,11,0,Cluster 1
35.92699,47.62912,PPL,CONTESTED,19,0,Cluster 1
32.21261,46.90661,PPL,UA,6,3,Cluster 4
37.523790000000005,49.179959999999994,PPLA3,CONTESTED,12,0,Cluster 1
30.42652,50.00662,PPL,UA,11,2,Cluster 3
34.26056,51.744690000000006,PPL,UA,7,1,Cluster 2
29.656129999999997,50.29618,PPL,UA,22,1,Cluster 2
31.39348,47.50562,PPL,UA,7,3,Cluster 4
29.64095,50.282579999999996,PPL,UA,22,1,Cluster 2
31.87288,47.42089,PPL,UA,5,3,Cluster 4
35.65293,47.02984,PPL,RU,1,3,Cluster 4
30.022409999999997,50.355909999999994,PPL,RU,19,1,Cluster 2
31.92251,47.53414,PPL,UA,2,3,Cluster 4
31.648490000000002,47.31227,PPL,UA,5,3,Cluster 4
32.805009999999996,46.81374,PPL,RU,5,3,Cluster 4
31.736009999999997,51.68705,PPL,RU,19,1,Cluster 2
34.718790000000006,50.30575,PPL,CONTESTED,25,1,Cluster 2
31.29443,50.67387,PPL,RU,5,2,Cluster 3
29.838409999999996,50.20163,PPL,UA,8,2,Cluster 3
33.19246,50.56817,PPL,CONTESTED,25,1,Cluster 2
36.5876,47.945679999999996,PPL,UA,2,3,Cluster 4
