air_strike_east_prop,air_strike_center_prop,air_strike_west_prop,air_strike_south_prop,armor_east_prop,armor_center_prop,armor_west_prop,armor_south_prop,special_east_prop,special_center_prop,special_west_prop,special_south_prop,cyber_east_prop,cyber_center_prop,cyber_west_prop,cyber_south_prop,artillery_east_prop,artillery_center_prop,artillery_west_prop,artillery_south_prop,Dates,east_act,center_act,west_act,south_act
0.24390243902439024,0.4146341463414634,0.18292682926829268,0.15853658536585366,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.4583333333333333,0.3333333333333333,0.0,0.20833333333333334,0.75,0.0,0.0,0.25,0.36363636363636365,0.3939393939393939,0.04040404040404041,0.20202020202020202,2022-03-10,0.34665707646581195,0.39357110924595956,0.0679672898502006,0.19180452443802784
0.24096385542168675,0.42168674698795183,0.18072289156626506,0.1566265060240964,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.48,0.32,0.0,0.2,0.75,0.0,0.0,0.25,0.36363636363636365,0.4019138755980861,0.0430622009569378,0.19138755980861244,2022-03-11,0.34788991798578744,0.3993808036643734,0.06941452104781222,0.18331475730202693
0.23809523809523808,0.42857142857142855,0.17857142857142858,0.15476190476190477,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.48148148148148145,0.2962962962962963,0.037037037037037035,0.18518518518518517,0.75,0.0,0.0,0.25,0.3700440528634361,0.3964757709251101,0.04405286343612335,0.1894273127753304,2022-03-12,0.35195963729446084,0.39491370980822244,0.07275491087333834,0.18037174202397843
0.23809523809523808,0.42857142857142855,0.17857142857142858,0.15476190476190477,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.5,0.2857142857142857,0.03571428571428571,0.17857142857142858,0.75,0.0,0.0,0.25,0.39215686274509803,0.3686274509803922,0.0392156862745098,0.2,2022-03-13,0.36896766056568364,0.3745436331927271,0.06925913186209727,0.18722957437949203
0.2222222222222222,0.4222222222222222,0.18888888888888888,0.16666666666666666,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.45161290322580644,0.25806451612903225,0.0967741935483871,0.1935483870967742,0.75,0.0,0.0,0.25,0.40293040293040294,0.3553113553113553,0.040293040293040296,0.20146520146520147,2022-03-14,0.3695440624281566,0.36175015928430393,0.07698081444162116,0.19172496384591828
0.21052631578947367,0.45263157894736844,0.17894736842105263,0.15789473684210525,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.45161290322580644,0.25806451612903225,0.0967741935483871,0.1935483870967742,0.75,0.0,0.0,0.25,0.3971631205673759,0.35815602836879434,0.03900709219858156,0.20567375886524822,2022-03-15,0.3633094193678274,0.3694530467901989,0.07421333293671459,0.1930242009052591
0.20175438596491227,0.4649122807017544,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.54,0.2,0.06,0.2,0.75,0.0,0.0,0.25,0.3976470588235294,0.3623529411764706,0.03058823529411765,0.20941176470588235,2022-03-16,0.3690280065897859,0.37067545304777594,0.06260296540362438,0.19769357495881382
0.21052631578947367,0.45263157894736844,0.17894736842105263,0.15789473684210525,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.48484848484848486,0.24242424242424243,0.09090909090909091,0.18181818181818182,0.75,0.0,0.0,0.25,0.39864864864864863,0.36486486486486486,0.037162162162162164,0.19932432432432431,2022-03-17,0.367087225818692,0.372862011906493,0.07243845584043279,0.1876123064343822
0.2,0.45,0.18,0.17,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.48484848484848486,0.24242424242424243,0.09090909090909091,0.18181818181818182,0.75,0.0,0.0,0.25,0.40064102564102566,0.36217948717948717,0.038461538461538464,0.1987179487179487,2022-03-18,0.36650528219720974,0.37048757118773595,0.07354592689024321,0.18946121972481117
0.19230769230769232,0.47115384615384615,0.17307692307692307,0.16346153846153846,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.4864864864864865,0.21621621621621623,0.08108108108108109,0.21621621621621623,0.75,0.0,0.0,0.25,0.4059701492537313,0.3582089552238806,0.03582089552238806,0.2,2022-03-19,0.3689267888535143,0.3695216091943329,0.06958727036673384,0.1919643315854189
0.18691588785046728,0.48598130841121495,0.16822429906542055,0.1588785046728972,0.15384615384615385,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.475,0.2,0.075,0.25,0.75,0.0,0.0,0.25,0.4114285714285714,0.36,0.03428571428571429,0.19428571428571428,2022-03-20,0.37078978620418823,0.3722245975244482,0.06710011185445758,0.18988550441690596
0.1834862385321101,0.48623853211009177,0.1651376146788991,0.1651376146788991,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.5227272727272727,0.18181818181818182,0.06818181818181818,0.22727272727272727,0.75,0.0,0.0,0.25,0.410958904109589,0.3589041095890411,0.03287671232876712,0.19726027397260273,2022-03-21,0.3734947760718279,0.3707682838991796,0.0645920621453236,0.19114487788366888
0.1834862385321101,0.48623853211009177,0.1651376146788991,0.1651376146788991,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.5416666666666666,0.1875,0.0625,0.20833333333333334,0.75,0.0,0.0,0.25,0.40625,0.359375,0.03125,0.203125,2022-03-22,0.37175784930147265,0.3715660093254538,0.0629850709611112,0.19369107041196237
0.1834862385321101,0.48623853211009177,0.1651376146788991,0.1651376146788991,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.5416666666666666,0.1875,0.0625,0.20833333333333334,0.75,0.0,0.0,0.25,0.40601503759398494,0.3609022556390977,0.03258145363408521,0.20050125313283207,2022-03-23,0.37159333690846374,0.3726353398800115,0.06391730785482819,0.19185401535669652
0.19090909090909092,0.4818181818181818,0.16363636363636364,0.16363636363636364,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.5510204081632653,0.1836734693877551,0.061224489795918366,0.20408163265306123,0.75,0.0,0.0,0.25,0.4033816425120773,0.3647342995169082,0.03140096618357488,0.20048309178743962,2022-03-24,0.37191409363992173,0.3741730205788245,0.06270375712085782,0.19120912866039597
0.20175438596491227,0.4649122807017544,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.5510204081632653,0.1836734693877551,0.061224489795918366,0.20408163265306123,0.75,0.0,0.0,0.25,0.4004739336492891,0.36492890995260663,0.030805687203791468,0.2037914691943128,2022-03-25,0.3719150613000184,0.3711342013167143,0.06285608163329043,0.19409465574997692
