date,longitude,latitude,a_rus_pred,t_airstrike_pred,t_armor_pred,t_raid_pred,t_cyber_pred,t_artillery_pred,t_milcas_pred,region
20220307,30.01,51.013,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220307,37.675,47.955,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220307,38.49,48.953,1.0,0.0,0.0,1.0,0.0,0.0,0.0,east
20220307,38.367,48.631,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220307,29.243,50.767,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220307,31.88,51.046,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220307,30.485,50.583,1.0,0.0,0.0,1.0,0.0,0.0,0.0,center
20220307,29.815,50.467,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220307,30.527,50.449,1.0,0.0,0.0,1.0,0.0,0.0,1.0,center
20220307,38.897,49.282,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220307,34.483,50.583,1.0,0.0,1.0,0.0,0.0,1.0,0.0,center
20220307,30.146,50.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,center
20220307,32.858,50.473,1.0,0.0,1.0,0.0,0.0,0.0,0.0,center
20220308,36.574,49.588,1.0,0.0,0.0,1.0,0.0,0.0,0.0,east
20220308,36.572,49.508,1.0,0.0,0.0,1.0,0.0,0.0,0.0,east
20220308,30.392,50.676,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220308,34.798,50.908,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220308,39.349,48.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,east
20220308,30.313,50.18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220308,30.881,50.948,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220308,28.674,49.414,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220308,31.767,47.395,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220308,34.807,48.78,1.0,0.0,0.0,1.0,0.0,0.0,0.0,south
20220308,38.37,49.026,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220308,36.679,49.835,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220308,38.49,48.953,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220308,30.221,48.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220308,28.83,45.354,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220308,37.675,47.955,1.0,0.0,0.0,0.0,0.0,1.0,1.0,east
20220309,31.299,51.491,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220309,28.68,50.239,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220309,36.193,49.899,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220309,32.192,51.422,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220309,31.596,51.891,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220309,29.243,50.767,1.0,1.0,0.0,0.0,0.0,1.0,0.0,center
20220309,33.819,51.39,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220309,28.849,49.227,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220309,38.42,48.913,1.0,1.0,0.0,0.0,0.0,1.0,0.0,east
20220309,38.37,49.026,1.0,1.0,0.0,0.0,0.0,1.0,0.0,east
20220309,38.367,48.631,1.0,1.0,0.0,0.0,0.0,1.0,0.0,east
20220309,38.221,49.05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,east
20220309,36.842,49.451,1.0,0.0,0.0,1.0,0.0,0.0,0.0,east
20220309,38.903,49.159,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220309,29.815,50.467,1.0,0.0,0.0,1.0,0.0,0.0,0.0,center
20220309,32.377,48.429,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220309,32.266,48.51,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220310,31.88,51.046,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220310,37.803,48.016,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220310,36.505,49.615,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220310,32.615,46.64,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220310,35.767,47.179,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220310,38.49,48.953,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220310,31.891,51.038,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220310,37.568,49.177,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220310,36.997,49.111,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220310,32.762,46.758,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220310,34.645,47.537,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220310,38.488,48.948,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220310,36.524,49.593,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220310,32.909,46.113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,south
20220310,38.22,48.435,1.0,1.0,0.0,0.0,0.0,0.0,0.0,east
20220310,24.903,49.808,1.0,0.0,0.0,0.0,0.0,1.0,0.0,west
20220310,32.377,48.429,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220311,31.299,51.491,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220311,31.263,51.48,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220311,37.803,48.016,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220311,28.476,50.64,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220311,31.264,51.48,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220311,37.563,49.177,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220311,28.658,50.254,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220311,36.349,50.019,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220311,37.454,49.17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220311,31.88,51.046,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220311,25.383,50.889,1.0,0.0,0.0,0.0,0.0,1.0,0.0,west
20220311,31.352,49.26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,center
20220311,37.675,47.955,1.0,0.0,0.0,1.0,0.0,0.0,0.0,east
20220312,35.373,46.842,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220312,30.524,50.45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220312,37.747,48.134,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220312,31.299,51.491,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220312,38.42,48.913,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220312,35.361,46.854,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220312,31.268,50.455,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
20220312,36.262,50.094,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220312,37.742,48.138,1.0,0.0,0.0,0.0,0.0,1.0,0.0,east
20220312,35.361,46.851,1.0,0.0,0.0,0.0,0.0,1.0,0.0,south
20220312,31.183,51.428,1.0,0.0,0.0,0.0,0.0,1.0,0.0,center
